antiga;nova
"""+DS2-3-1""";"GCP2-3-1 - (""+DS2-3-1"")"
"""+DS2-3-2""";"GCP2-3-2 - (""+DS2-3-2"")"
BCO-CAP.200KVAR;CB-MER2 - (BCO-CAP.200KVAR)
BCO.CAPACITORES200KVAR;CB-MER6 - (BCO.CAPACITORES200KVAR)
QLF-2-4;LPP-2-4 - (QLF-2-4)
QLF-1-4;LPP-1-4 - (QLF-1-4)
QTN-1-4;EP-1-4 - (QTN-1-4)
QTN-2-4;EP-2-4 - (QTN-2-4)
TR-QTN-2-4;TR-EP-2-4 - (TR-QTN-2-4)
TR-QTN-1-4;TR-EP-1-4 - (TR-QTN-1-4)
QTN-DH-1-1-1;EP-DH1-1-1 - (QTN-DH-1-1-1)
QTN-DH-1-1-2;EP-DH1-1-2 - (QTN-DH-1-1-2)
QTN-DH-1-2-1;EP-DH1-2-1 - (QTN-DH-1-2-1)
QTN-DH-1-2-2;EP-DH1-2-2 - (QTN-DH-1-2-2)
TR-QTN-DH-1-1-2;TR-EP-DH-1-1-2 - (TR-QTN-DH-1-1-2)
TR-QTN-DH1-2-2;TR-EP-DH-1-2-2 - (TR-QTN-DH1-2-2)
TR-QTN-DH-1-1-1;TR-EP-DH-1-1-1 - (TR-QTN-DH-1-1-1)
TR-QTN-DH1-2-1;TR-EP-DH-1-2-1 - (TR-QTN-DH1-2-1)
QLF-DH-2-2-1;LPP-DH-2-2-1 - (QLF-DH-2-2-1)
TR-QTN-DH-2-2-1;TR-EP-DH-2-2-1 - (TR-QTN-DH-2-2-1)
QTN-DH-2-2-1;TR-EP-DH-2-1-1 - (QTN-DH-2-2-1)
QTN-DH-2-1-1;EP-DH2-1-1 - (QTN-DH-2-1-1)
QTN-DH-2-2-1;TR-EP-DH-2-1-1 - (QTN-DH-2-2-1)
QLF-DH-2-1-1;LPP-DH-2-1-1 - (QLF-DH-2-1-1)
QLF-DH-2-2-2;LPP-DH-2-2-2 - (QLF-DH-2-2-2)
TR-QTN-DH-2-2-2;TR-EP-DH-2-2-2 - (TR-QTN-DH-2-2-2)
QTN-DH-2-2-2;EP-DH2-2-2 - (QTN-DH-2-2-2)
TR-QTN-DH2-1-2;TR-EP-DH-2-1-2 - (TR-QTN-DH2-1-2)
QLF-DH-2-1-2;LPP-DH-2-1-2 - (QLF-DH-2-1-2)
QLF-1P;VPA-LPP-1P - (QLF-1P)
QTN-1P;VPA-EP-1P - (QTN-1P)
FP1.2;FP1-2 - (FP1.2)
FP2.1;FP1-3 - (FP2.1)
FP3.2;FPC-1 - (FP3.2)
QA-EXT02;AP-EXT-02 - (QA-EXT02)
QFB-REC-02;EP-REC-T02 - (QFB-REC-02)
QF-TRAFO-IL;LPP-TR - (QF-TRAFO-IL)
QFB-REC-T01;EP-REC-T01 - (QFB-REC-T01)
QGLF-EXT-01;LPP-EXT-01 - (QGLF-EXT-01)
